timestamp,category,variance
2025-12-24T09:14:51.610559,Fuel,515.0
2025-12-24T09:14:51.610559,Insurance,170.0
2025-12-24T09:14:51.610559,Maintenance,300.0
2025-12-24T09:14:51.610559,Other,645.0
2025-12-31T14:48:18.498243,Insurance,170.0,HIGH
2025-12-31T14:48:18.498243,Maintenance,300.0,HIGH
2025-12-31T14:48:18.498243,Other,645.0,HIGH
2025-12-31T15:00:13.260620,Fuel,515.0,HIGH
2025-12-31T15:00:13.260620,Insurance,170.0,HIGH
2025-12-31T15:00:13.260620,Maintenance,300.0,HIGH
2025-12-31T15:00:13.260620,Other,645.0,HIGH
2025-12-31T17:07:44.281675,Fuel,515.0,HIGH
2025-12-31T17:07:44.281675,Insurance,170.0,HIGH
2025-12-31T17:07:44.281675,Maintenance,300.0,HIGH
2025-12-31T17:07:44.281675,Other,645.0,HIGH
2025-12-31T17:24:57.013101,Fuel,515.0,HIGH
2025-12-31T17:24:57.013101,Insurance,170.0,HIGH
2025-12-31T17:24:57.013101,Maintenance,300.0,HIGH
2025-12-31T17:24:57.013101,Other,645.0,HIGH
2025-12-31T17:25:55.025743,Fuel,515.0,HIGH
2025-12-31T17:25:55.025743,Insurance,170.0,HIGH
2025-12-31T17:25:55.025743,Maintenance,300.0,HIGH
2025-12-31T17:25:55.025743,Other,645.0,HIGH
2026-01-01T07:20:08.379817,Fuel,615.0,HIGH
2026-01-01T07:20:08.379817,Insurance,170.0,HIGH
2026-01-01T07:20:08.379817,Maintenance,300.0,HIGH
2026-01-01T07:20:08.379817,Other,645.0,HIGH
2026-01-01T07:25:37.115739,Fuel,565.0,HIGH
2026-01-01T07:25:37.115739,Insurance,170.0,HIGH
2026-01-01T07:25:37.115739,Maintenance,300.0,HIGH
2026-01-01T07:25:37.115739,Other,645.0,HIGH
2026-01-01T07:28:34.827999,Fuel,1015.0,HIGH
2026-01-01T07:28:34.827999,Insurance,170.0,HIGH
2026-01-01T07:28:34.827999,Maintenance,300.0,HIGH
2026-01-01T07:28:34.827999,Other,645.0,HIGH
2026-01-01T07:31:06.000110,Fuel,530.0,HIGH
2026-01-01T07:31:06.000110,Insurance,170.0,HIGH
2026-01-01T07:31:06.000110,Maintenance,300.0,HIGH
2026-01-01T07:31:06.000110,Other,645.0,HIGH
2026-01-10T14:30:58.895598,Fuel,515.0,HIGH
2026-01-10T14:30:58.895598,Gas,75.0,HIGH
2026-01-10T14:30:58.895598,Insurance,170.0,HIGH
2026-01-10T14:30:58.895598,Maintenance,300.0,HIGH
2026-01-10T14:30:58.895598,Other,645.0,HIGH
2026-01-10T14:35:59.786260,Fuel,515.0,HIGH
2026-01-10T14:35:59.786260,Insurance,170.0,HIGH
2026-01-10T14:35:59.786260,Maintenance,300.0,HIGH
2026-01-10T14:35:59.786260,Other,645.0,HIGH
2026-01-10T14:36:10.086977,Fuel,515.0,HIGH
2026-01-10T14:36:10.086977,Insurance,170.0,HIGH
2026-01-10T14:36:10.086977,Maintenance,300.0,HIGH
2026-01-10T14:36:10.086977,Other,645.0,HIGH
2026-01-10T14:36:32.468149,Fuel,515.0,HIGH
2026-01-10T14:36:32.468149,Insurance,170.0,HIGH
2026-01-10T14:36:32.468149,Maintenance,300.0,HIGH
2026-01-10T14:36:32.468149,Other,645.0,HIGH
2026-01-10T14:37:51.546685,Fuel,515.0,HIGH
2026-01-10T14:37:51.546685,Insurance,170.0,HIGH
2026-01-10T14:37:51.546685,Maintenance,300.0,HIGH
2026-01-10T14:37:51.546685,Other,645.0,HIGH
2026-01-10T14:49:44.874017,Fuel,515.0,HIGH
2026-01-10T14:49:44.874017,Insurance,170.0,HIGH
2026-01-10T14:49:44.874017,Maintenance,300.0,HIGH
2026-01-10T14:49:44.874017,Other,645.0,HIGH
2026-01-10T16:19:38.586355,Fuel,542.0,HIGH
2026-01-10T16:19:38.586355,Insurance,170.0,HIGH
2026-01-10T16:19:38.586355,Maintenance,300.0,HIGH
2026-01-10T16:19:38.586355,Other,645.0,HIGH
2026-01-12T16:59:43.184010,Feul,15.0,HIGH
2026-01-12T16:59:43.184010,Fuel,515.0,HIGH
2026-01-12T16:59:43.184010,Insurance,170.0,HIGH
2026-01-12T16:59:43.184010,Maintenance,300.0,HIGH
2026-01-12T16:59:43.184010,Other,645.0,HIGH
2026-01-12T17:02:39.184208,Fuel,515.0,HIGH
2026-01-12T17:02:39.184208,Insurance,170.0,HIGH
2026-01-12T17:02:39.184208,Maintenance,300.0,HIGH
2026-01-12T17:02:39.184208,Other,645.0,HIGH
2026-01-12T17:19:26.983721,Food,230.0,HIGH
2026-01-12T17:19:26.983721,Fuel,515.0,HIGH
2026-01-12T17:19:26.983721,Insurance,170.0,HIGH
2026-01-12T17:19:26.983721,Maintenance,300.0,HIGH
2026-01-12T17:19:26.983721,Other,645.0,HIGH
2026-01-12T17:44:51.019024,Food,235.0,HIGH
2026-01-12T17:44:51.019024,Fuel,515.0,HIGH
2026-01-12T17:44:51.024524,Insurance,170.0,HIGH
2026-01-12T17:44:51.024524,Maintenance,300.0,HIGH
2026-01-12T17:44:51.024524,Other,645.0,HIGH
2026-01-16T13:41:41.538608,Fuel,515.0,HIGH
2026-01-16T13:41:41.538608,Insurance,170.0,HIGH
2026-01-16T13:41:41.538608,Maintenance,300.0,HIGH
2026-01-16T13:41:41.538608,Other,645.0,HIGH
2026-01-16T14:40:38.642232,Fuel,716.0,HIGH
2026-01-16T14:40:38.642232,Insurance,170.0,HIGH
2026-01-16T14:40:38.642232,Maintenance,300.0,HIGH
2026-01-16T14:40:38.642232,Other,645.0,HIGH
2026-01-16T15:11:15.190494,Food,22.0,LOW
2026-01-16T15:11:15.190494,Fuel,515.0,HIGH
2026-01-16T15:11:15.190494,Insurance,170.0,HIGH
2026-01-16T15:11:15.190494,Maintenance,300.0,HIGH
2026-01-16T15:11:15.190494,Other,645.0,HIGH
